,name,company,year,Price,kms_driven,fuel_type
684,Maruti Suzuki Swift,Maruti,2009,"2,50,000","51,000 kms",Diesel
685,Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel
686,Mahindra Xylo D2,Mahindra,2011,"3,90,000","48,000 kms",Diesel
687,Hyundai Santro,Hyundai,2003,"60,000","51,000 kms",Petrol
688,Chevrolet Beat LT,Chevrolet,2015,"2,15,000","90,000 kms",Diesel
689,Maruti Suzuki Swift,Maruti,2015,"4,75,000","43,000 kms",Diesel
690,Mahindra XUV500 W8,Mahindra,2015,"8,99,000","53,000 kms",Diesel
691,Toyota Fortuner 3.0,Toyota,2013,"14,99,000","97,000 kms",Diesel
692,Maruti Suzuki Alto,Maruti,2013,"2,40,000","20,000 kms",Petrol
693,Hyundai Getz GLE,Hyundai,2007,"99,000","55,000 kms",Petrol
694,Maruti Suzuki Swift,Maruti,2014,"2,60,000","1,20,000 kms",Diesel
695,Hyundai Creta 1.6,Hyundai,2019,"12,00,000",0 kms,Petrol
696,Hyundai Santro Xing,Hyundai,2007,"1,15,000","46,000 kms",Petrol
697,Hyundai Santro Xing,Hyundai,2009,"88,000","43,200 kms",Petrol
698,Mahindra Xylo D2,Mahindra,2011,"3,90,000","56,000 kms",Diesel
699,Hyundai Santro Xing,Hyundai,2007,"1,35,000","42,000 kms",Petrol
700,Tata Indica V2,Tata,2009,"90,000","30,600 kms",Diesel
701,Hyundai i10 Sportz,Hyundai,2011,"2,20,000","38,000 kms",Petrol
702,Hyundai Grand i10,Hyundai,2017,"4,24,999","2,550 kms",Petrol
703,Hyundai Santro Xing,Hyundai,2007,"1,35,000","47,000 kms",Petrol
704,Honda City 1.5,Honda,2005,"95,000","41,000 kms",Petrol
705,Nissan Micra XL,Nissan,2017,"4,30,000","62,500 kms",Diesel
706,Honda City 1.5,Honda,2005,"1,15,000","68,000 kms",Petrol
707,Maruti Suzuki Alto,Maruti,2015,"2,15,000","50,000 kms",Petrol
708,Maruti Suzuki Wagon,Maruti,2004,"53,000","69,000 kms",Petrol
709,Maruti Suzuki Ertiga,Maruti,2012,"5,00,000","48,000 kms",Diesel
710,Tata Indica eV2,Tata,2012,"85,000","55,000 kms",Diesel
711,Maruti Suzuki Omni,Maruti,2013,"1,65,000","25,000 kms",Petrol
712,Hyundai Eon Era,Hyundai,2014,"2,00,000","28,400 kms",Petrol
713,Hyundai Eon,Hyundai,2014,"2,00,000","28,000 kms",Petrol
714,Maruti Suzuki Swift,Maruti,2015,"4,25,000","42,000 kms",Diesel
715,Hyundai Verna 1.6,Hyundai,2012,"6,00,000","29,000 kms",Diesel
716,Chevrolet Tavera LS,Chevrolet,2005,"1,30,000","68,485 kms",Diesel
717,Tata Tiago Revotron,Tata,2018,"4,30,000","3,500 kms",Petrol
718,Tata Tiago Revotorq,Tata,2019,"5,68,500",0 kms,Petrol
719,Maruti Suzuki Zen,Maruti,2006,"71,000","32,000 kms",Petrol
720,Mahindra KUV100 K8,Mahindra,2018,"5,60,000","8,000 kms",Diesel
721,Ford EcoSport Titanium,Ford,2014,"5,90,000","34,000 kms",Diesel
722,Hindustan Motors Ambassador,Hindustan,1995,"7,50,000","37,000 kms",Petrol
723,Ford Fusion 1.4,Ford,2007,"1,25,000","85,455 kms",Diesel
724,Hyundai Santro Xing,Hyundai,2007,"1,35,000","46,000 kms",Petrol
725,Hyundai Santro,Hyundai,2002,"60,000","47,000 kms",Petrol
726,Fiat Linea Emotion,Fiat,2009,"1,20,000","64,000 kms",Petrol
727,Ford Ikon 1.3,Ford,2008,"95,000","46,000 kms",Petrol
728,Maruti Suzuki Omni,Maruti,2017,"2,40,000","8,000 kms",Petrol
729,Tata Indica V2,Tata,2012,"1,15,000","64,000 kms",Diesel
730,Mahindra Scorpio S4,Mahindra,2015,"7,95,000","63,000 kms",Diesel
731,Hyundai Santro Xing,Hyundai,2007,"55,000","65,000 kms",Petrol
732,Mahindra Xylo D2,Mahindra,2009,"3,00,000","62,000 kms",Diesel
733,Hyundai Grand i10,Hyundai,2014,"3,20,000","41,000 kms",Petrol
734,Maruti Suzuki Alto,Maruti,2015,"2,65,000","14,000 kms",Petrol
735,Toyota Corolla,Toyota,2006,"1,60,000","40,000 kms",Petrol
736,Hyundai Eon Magna,Hyundai,2017,"3,00,000","1,600 kms",Petrol
737,Tata Sumo Grande,Tata,2010,"1,30,000","90,000 kms",Diesel
738,Maruti Suzuki Swift,Maruti,2011,"2,50,000","58,000 kms",Diesel
739,Volkswagen Polo Highline1.2L,Volkswagen,2013,"3,80,000","27,000 kms",Petrol
740,Maruti Suzuki Alto,Maruti,2003,"42,000","60,000 kms",Petrol
741,Tata Tiago Revotron,Tata,2017,"4,00,000","31,000 kms",Petrol
742,Maruti Suzuki Swift,Maruti,2009,"1,20,000","90,000 kms",Diesel
743,Maruti Suzuki Swift,Maruti,2009,"1,20,000","90,000 kms",Diesel
744,Tata Indigo eCS,Tata,2016,"1,30,000","1,50,000 kms",Diesel
745,Chevrolet Beat LS,Chevrolet,2014,"1,89,000","31,000 kms",Diesel
746,Mahindra Xylo E8,Mahindra,2011,"3,65,000","43,000 kms",Diesel
747,Hyundai Eon D,Hyundai,2013,"1,70,000","20,000 kms",Petrol
748,Tata Sumo Gold,Tata,2013,"2,15,000","1,00,000 kms",Petrol
749,Tata Nano,Tata,2013,"60,000","7,000 kms",Petrol
750,Hyundai Elite i20,Hyundai,2017,"5,99,999","31,000 kms",Petrol
751,Hyundai i10 Magna,Hyundai,2009,"4,00,000","33,000 kms",Petrol
752,Hyundai Creta,Hyundai,2016,"9,00,000","60,000 kms",Diesel
753,Volkswagen Polo,Volkswagen,2013,"2,99,999","48,000 kms",Diesel
754,Maruti Suzuki Dzire,Maruti,2014,"3,74,999","33,000 kms",Petrol
755,Tata Bolt XM,Tata,2015,"6,00,000","15,000 kms",Petrol
756,Maruti Suzuki Alto,Maruti,2005,"70,000","47,000 kms",Petrol
757,Maruti Suzuki Alto,Maruti,2005,"1,00,000","40,000 kms",Petrol
758,Maruti Suzuki Ritz,Maruti,2010,"1,50,000","38,000 kms",Diesel
759,Maruti Suzuki Alto,Maruti,2017,"2,25,000","12,500 kms",Petrol
760,Maruti Suzuki Dzire,Maruti,2009,"2,10,000","42,000 kms",Petrol
761,Hyundai i20 Asta,Hyundai,2014,"4,25,000","31,000 kms",Petrol
762,Maruti Suzuki Swift,Maruti,2008,"1,62,000","60,000 kms",Diesel
763,Tata Indica V2,Tata,2005,"60,000","80,000 kms",Diesel
764,Mahindra Scorpio VLX,Mahindra,2014,"6,50,000","77,000 kms",Diesel
765,Toyota Innova 2.5,Toyota,2012,"7,50,000","75,000 kms",Diesel
766,Mahindra Xylo E8,Mahindra,2010,"3,75,000","40,000 kms",Diesel
767,Hyundai i20 Magna,Hyundai,2011,"2,30,000","47,000 kms",Petrol
768,Maruti Suzuki Omni,Maruti,2000,"35,999","60,000 kms",Petrol
769,Mahindra KUV100,Mahindra,2016,"3,80,000","26,500 kms",Petrol
770,Mahindra KUV100 K8,Mahindra,2019,"5,60,000","2,875 kms",Petrol
771,Datsun Go Plus,Datsun,2016,"2,85,000","13,900 kms",Petrol
772,Ford Endeavor 4x4,Ford,2019,"29,00,000","9,000 kms",Diesel
773,Tata Indica V2,Tata,2005,"39,999","80,000 kms",Diesel
774,Hyundai Santro Xing,Hyundai,2006,"85,000","60,000 kms",Petrol
775,Maruti Suzuki Wagon,Maruti,2016,"3,95,000","20,000 kms",Petrol
776,Maruti Suzuki Swift,Maruti,2008,"1,75,000","58,000 kms",Diesel
777,Maruti Suzuki Alto,Maruti,2019,"4,00,000","1,500 kms",Petrol
778,Toyota Innova 2.5,Toyota,2011,"7,50,000","75,000 kms",Diesel
779,Maruti Suzuki Alto,Maruti,2016,"2,50,000","2,450 kms",Petrol
780,Maruti Suzuki Alto,Maruti,2019,"4,25,000","1,625 kms",Petrol
781,Volkswagen Polo Highline1.2L,Volkswagen,2017,"5,25,000","45,000 kms",Petrol
782,Mahindra Logan,Mahindra,2009,"1,30,000","65,000 kms",Diesel
783,Maruti Suzuki 800,Maruti,2000,"30,000","33,400 kms",Petrol
784,Mahindra Scorpio,Mahindra,2011,"4,75,000","60,123 kms",Diesel
785,Chevrolet Sail 1.2,Chevrolet,2013,"3,00,000","28,000 kms",Petrol
786,Hyundai Santro AE,Hyundai,2003,"60,000","70,000 kms",Petrol
787,Maruti Suzuki Wagon,Maruti,2006,"1,00,000","7,000 kms",Petrol
788,Hyundai Eon,Hyundai,2018,"2,60,000","25,000 kms",Petrol
789,Tata Manza,Tata,2015,"1,00,000","1,00,000 kms",Diesel
790,Toyota Etios G,Toyota,2013,"2,65,000","42,000 kms",Petrol
791,Hyundai Getz Prime,Hyundai,2009,"1,15,000","20,000 kms",Petrol
792,Toyota Qualis,Toyota,2003,"1,80,000","1,00,000 kms",Diesel
793,Hyundai Santro Xing,Hyundai,2004,"45,000","1,37,495 kms",Petrol
794,Tata Indica eV2,Tata,2016,"50,500","91,200 kms",Diesel
795,Honda City 1.5,Honda,2009,"2,70,000","55,000 kms",Petrol
796,Tata Zest XE,Tata,2017,"2,90,000","1,20,000 kms",Diesel
797,Mahindra Quanto C4,Mahindra,2013,"3,25,000","63,000 kms",Diesel
798,Tata Indigo eCS,Tata,2016,"1,60,000","1,04,000 kms",Diesel
799,Maruti Suzuki Swift,Maruti,2016,"3,50,000","1,46,000 kms",Diesel
800,Hyundai Elite i20,Hyundai,2011,"2,90,000","40,000 kms",Petrol
801,Hyundai i20 Select,Hyundai,2011,"2,90,000","40,000 kms",Petrol
802,Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000","1,00,800 kms",Diesel
803,Maruti Suzuki Dzire,Maruti,2016,"3,25,000","1,50,000 kms",Diesel
804,Hyundai Elite i20,Hyundai,2018,"5,10,000","2,100 kms",Petrol
805,Honda City VX,Honda,2016,"8,60,000","95,000 kms",Petrol
806,Maruti Suzuki Dzire,Maruti,2016,"4,50,000","2,500 kms",Diesel
807,Hyundai Getz,Hyundai,2006,"1,25,000","80,000 kms",Petrol
808,Mercedes Benz C,Mercedes,2006,"5,00,001","15,000 kms",Petrol
809,Maruti Suzuki Alto,Maruti,2005,"95,000","65,000 kms",Petrol
810,Maruti Suzuki Swift,Maruti,2009,"2,50,000","51,000 kms",Diesel
811,Skoda Fabia,Skoda,2009,"1,10,000","45,000 kms",Petrol
812,Maruti Suzuki Ritz,Maruti,2011,"2,70,000","50,000 kms",Petrol
813,Tata Indica V2,Tata,2009,"1,10,000","30,000 kms",Diesel
814,Toyota Corolla Altis,Toyota,2009,"3,00,000","1,32,000 kms",Petrol
815,Tata Zest XM,Tata,2018,"2,60,000","27,000 kms",Diesel
816,Mahindra Quanto C8,Mahindra,2013,"3,90,000","40,000 kms",Diesel
817,Honda Amaze 1.2,Honda,2014,"1,80,000",Petrol,
818,Chevrolet Sail 1.2,Chevrolet,2014,"1,60,000",Petrol,
